# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554369279.9851334} 
r,l,t
240.0,965,1771.191377
140.0,565,1777.48289
20.0,384,1781.602129
40.0,365,1785.481686
80.0,566,1791.622464
60.0,424,1796.199313
40.0,454,1801.089643
40.0,553,1807.118138
80.0,473,1812.204577
100.0,524,1817.878267
40.0,422,1822.579334
260.0,905,1833.013617
40.0,434,1838.119207
0.0,260,1841.010759
0.0,299,1844.212555
240.0,909,1854.373525
60.0,425,1859.14358
40.0,390,1863.375552
160.0,760,1871.720566
160.0,827,1881.365288
20.0,322,1884.856458
180.0,740,1893.327043
240.0,917,1903.828242
0.0,309,1907.306089
120.0,799,1916.615835
60.0,568,1923.220113
140.0,623,1930.343818
100.0,598,1937.397326
20.0,359,1941.65055
80.0,406,1946.421407
120.0,632,1953.681811
240.0,909,1964.508432
160.0,740,1973.280877
20.0,303,1976.658003
100.0,592,1983.407432
200.0,925,1994.120332
60.0,597,2000.927695
120.0,635,2008.235195
140.0,583,2014.985282
80.0,602,2022.21266
240.0,959,2033.353372
120.0,646,2040.745431
240.0,795,2050.273772
240.0,893,2062.734649
140.0,597,2071.178265
220.0,912,2082.433361
340.0,1262,2099.094827
140.0,662,2107.503994
160.0,882,2118.232764
20.0,350,2122.973026
160.0,657,2131.367165
180.0,723,2139.753108
60.0,485,2145.815563
240.0,895,2156.359635
160.0,670,2164.599716
200.0,754,2174.52011
120.0,662,2183.158258
80.0,684,2191.169466
100.0,598,2197.949068
0.0,385,2202.277833
240.0,848,2212.439009
380.0,1366,2230.254279
200.0,935,2241.802353
140.0,585,2248.960526
160.0,771,2257.732381
240.0,952,2269.435727
160.0,821,2279.32983
120.0,563,2286.527585
20.0,351,2291.889722
200.0,844,2303.152683
80.0,460,2308.788949
20.0,425,2314.185468
120.0,764,2324.737548
240.0,941,2336.311245
240.0,699,2344.573669
20.0,399,2349.335495
260.0,765,2358.484052
60.0,506,2364.436723
20.0,444,2370.065344
180.0,824,2380.210711
40.0,473,2386.027412
100.0,580,2393.464571
40.0,388,2398.289524
160.0,704,2407.287607
180.0,796,2417.61884
60.0,485,2424.360808
100.0,594,2432.160122
40.0,379,2436.543914
80.0,564,2443.836184
20.0,393,2448.897745
100.0,646,2456.937028
60.0,519,2463.651266
60.0,584,2470.763406
120.0,620,2479.994339
20.0,379,2485.43802
40.0,373,2490.689187
0.0,307,2494.205327
120.0,546,2500.432239
40.0,387,2504.780557
120.0,552,2511.979379
200.0,735,2521.506892
60.0,462,2526.968553
180.0,839,2537.073833
100.0,530,2543.678436
20.0,337,2548.039699
20.0,408,2553.277171
40.0,420,2558.294038
60.0,463,2563.463413
0.0,319,2567.005819
260.0,913,2577.263331
20.0,387,2581.656125
20.0,386,2586.515618
20.0,358,2592.129548
0.0,396,2597.070678
60.0,394,2602.514945
20.0,393,2607.945872
120.0,742,2618.329188
260.0,1160,2633.327765
0.0,364,2637.54116
0.0,386,2641.932281
100.0,683,2649.770569
40.0,413,2654.485496
0.0,358,2658.596488
40.0,486,2664.102633
20.0,438,2669.223607
220.0,968,2680.880363
180.0,693,2689.036286
40.0,482,2694.46968
80.0,587,2701.132006
0.0,382,2705.461903
0.0,335,2709.21843
0.0,279,2712.449487
60.0,447,2717.578341
60.0,507,2723.508933
80.0,542,2729.628913
60.0,437,2734.572355
340.0,1038,2747.061951
40.0,347,2751.361183
0.0,299,2754.947601
120.0,575,2761.330546
80.0,613,2768.25696
60.0,561,2774.427416
160.0,799,2783.263103
60.0,462,2788.331205
20.0,403,2792.711209
0.0,317,2796.159952
60.0,452,2801.120532
80.0,645,2808.426778
0.0,347,2813.212255
0.0,280,2816.4154
140.0,598,2823.034543
20.0,426,2827.655709
120.0,647,2834.7359
0.0,312,2838.203105
100.0,500,2843.931137
20.0,394,2848.262191
240.0,1355,2866.02342
160.0,825,2876.242212
20.0,392,2881.025978
80.0,594,2888.279845
40.0,408,2893.397224
240.0,760,2903.314036
220.0,917,2916.731435
280.0,1084,2931.090314
180.0,778,2941.276055
80.0,620,2948.996587
140.0,622,2956.032029
120.0,625,2963.311962
60.0,456,2968.98002
260.0,974,2981.456197
20.0,366,2986.046687
40.0,409,2991.088663
120.0,591,2998.898885
120.0,658,3007.8903
160.0,584,3016.110307
280.0,1051,3031.165417
280.0,990,3044.069728
120.0,648,3051.921379
140.0,537,3058.210901
120.0,704,3066.672264
180.0,759,3075.566066
80.0,565,3081.966909
140.0,578,3088.183212
120.0,672,3095.470937
360.0,1540,3112.723994
80.0,497,3118.451928
180.0,934,3128.495775
160.0,696,3136.339619
20.0,403,3140.466486
200.0,715,3147.860542
180.0,738,3155.513061
240.0,1260,3168.647743
380.0,1231,3181.513205
140.0,513,3186.758384
300.0,1374,3201.065107
420.0,1274,3214.300842
240.0,959,3224.558446
140.0,615,3232.024178
280.0,1009,3244.224974
300.0,1236,3258.209368
260.0,807,3267.450592
120.0,486,3272.649431
220.0,850,3282.095222
260.0,952,3292.766207
240.0,782,3301.770995
160.0,698,3309.612967
320.0,1109,3321.767419
160.0,786,3330.531489
180.0,669,3337.892443
120.0,546,3343.507921
320.0,1270,3356.68925
280.0,1026,3367.40677
280.0,1127,3379.418216
360.0,1147,3391.492435
140.0,569,3397.941941
160.0,619,3404.775197
320.0,1095,3417.928626
220.0,1069,3432.243762
200.0,915,3446.381965
220.0,877,3459.240561
120.0,579,3467.531353
200.0,776,3478.647617
100.0,660,3488.084401
60.0,579,3495.378388
60.0,356,3499.186554
100.0,611,3506.700664
0.0,344,3510.795736
120.0,687,3518.505082
180.0,902,3528.444517
100.0,507,3533.963724
120.0,643,3541.048769
180.0,794,3549.933996
120.0,656,3557.668515
160.0,633,3566.027256
60.0,421,3571.566333
200.0,741,3580.666984
100.0,605,3588.355415
120.0,525,3595.00662
140.0,538,3601.5551
360.0,1257,3616.589879
100.0,670,3624.623383
140.0,665,3632.522248
160.0,610,3639.68212
360.0,1331,3655.447913
320.0,1116,3668.994669
400.0,1263,3684.390479
220.0,1090,3697.939257
460.0,1516,3717.317384
420.0,1477,3735.904655
260.0,976,3747.918551
340.0,1232,3762.678051
120.0,602,3769.481858
140.0,653,3776.91294
380.0,1223,3791.217668
120.0,569,3798.140183
100.0,445,3803.749666
220.0,811,3816.224771
100.0,410,3822.31947
80.0,573,3831.06108
60.0,459,3837.585633
60.0,418,3843.764122
0.0,295,3848.043646
320.0,1460,3865.925673
140.0,614,3873.161745
60.0,541,3879.764041
280.0,972,3892.112006
160.0,707,3900.351986
320.0,1085,3913.074698
340.0,1275,3927.773503
320.0,1220,3943.427622
280.0,1071,3955.475721
180.0,696,3963.418845
160.0,593,3970.611304
180.0,810,3979.360193
80.0,476,3984.639504
220.0,740,3993.534357
160.0,817,4003.574149
280.0,1122,4018.731636
180.0,840,4029.756644
200.0,803,4039.748525
340.0,1196,4054.68571
320.0,1198,4069.971345
140.0,773,4080.233556
140.0,737,4089.680902
180.0,780,4099.177616
340.0,1220,4116.006023
300.0,1019,4129.817375
180.0,698,4139.236252
240.0,946,4151.961052
220.0,789,4161.812695
220.0,713,4170.571262
180.0,783,4179.968121
380.0,1296,4196.254582
200.0,976,4207.640086
120.0,496,4213.758718
80.0,419,4219.127353
420.0,1442,4236.216632
180.0,680,4243.690635
100.0,776,4252.326531
300.0,952,4262.891265
160.0,596,4270.261546
380.0,1335,4286.031805
120.0,547,4292.665812
180.0,565,4300.184642
220.0,789,4309.665004
220.0,932,4319.887941
280.0,933,4330.066745
20.0,353,4333.869323
40.0,588,4340.254289
220.0,924,4350.268719
320.0,1158,4364.311474
140.0,567,4371.8348
100.0,467,4377.573378
220.0,781,4387.286018
200.0,729,4396.077582
0.0,371,4400.349641
60.0,422,4405.213337
120.0,562,4411.976685
80.0,495,4418.433638
0.0,379,4422.942298
60.0,593,4430.346468
60.0,426,4435.125993
100.0,624,4442.800879
80.0,447,4447.904079
80.0,570,4454.253524
140.0,730,4462.722001
100.0,544,4468.939887
40.0,478,4474.204574
160.0,799,4483.720321
100.0,530,4489.794802
100.0,765,4498.378458
140.0,857,4508.056434
0.0,318,4511.470268
100.0,597,4517.928021
40.0,368,4521.918938
140.0,844,4531.108833
160.0,796,4539.854193
80.0,649,4547.386533
220.0,957,4558.943871
100.0,655,4566.55823
60.0,486,4572.153993
40.0,349,4576.174559
80.0,524,4582.338363
100.0,600,4589.315527
200.0,901,4600.957251
80.0,523,4607.185969
200.0,963,4618.464851
180.0,650,4626.553726
140.0,578,4634.347974
80.0,519,4640.541897
60.0,538,4646.733019
100.0,442,4651.754302
40.0,444,4656.632063
100.0,523,4662.673295
60.0,471,4668.58576
140.0,653,4676.453451
260.0,1035,4688.989915
180.0,889,4699.817786
120.0,592,4707.441369
240.0,1003,4719.905908
160.0,635,4727.233532
300.0,1128,4740.053044
140.0,620,4746.960725
200.0,1022,4758.292948
320.0,1194,4771.476307
80.0,432,4776.177286
320.0,1234,4789.890121
300.0,1087,4801.792175
80.0,700,4810.354917
100.0,561,4817.053486
180.0,840,4826.294987
180.0,797,4835.006357
260.0,927,4845.547862
300.0,1201,4861.14236
