# {"t_start": 1554460806.1331735, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
160.0,768,1382.956797
80.0,540,1388.348282
100.0,510,1393.091747
60.0,433,1396.9771
160.0,573,1403.032015
60.0,466,1407.338723
80.0,534,1413.010789
60.0,465,1417.77962
180.0,708,1425.255934
60.0,408,1429.147716
20.0,446,1433.318702
60.0,442,1437.382541
40.0,523,1442.20842
160.0,866,1450.716152
0.0,317,1453.584769
20.0,396,1457.158091
20.0,367,1460.4775
40.0,462,1464.663801
20.0,445,1468.731446
160.0,754,1476.05672
140.0,673,1483.125672
80.0,575,1488.712144
220.0,873,1497.170723
60.0,531,1502.294208
220.0,759,1509.915256
100.0,644,1516.105162
160.0,557,1521.325124
140.0,546,1526.499902
120.0,626,1532.857612
160.0,595,1538.588147
60.0,472,1543.113028
20.0,431,1547.157977
40.0,417,1551.148416
180.0,821,1559.139482
40.0,422,1563.115466
120.0,558,1568.441414
140.0,540,1573.519554
0.0,311,1576.500942
140.0,635,1582.700884
120.0,569,1588.072515
100.0,627,1594.10036
80.0,489,1598.775292
120.0,618,1604.328605
60.0,394,1607.846957
0.0,330,1610.797115
120.0,617,1616.335393
120.0,453,1620.4973
60.0,546,1625.476941
60.0,432,1629.43503
20.0,389,1632.904871
60.0,470,1637.276741
20.0,394,1641.025761
60.0,484,1645.424755
180.0,642,1651.211379
160.0,763,1658.339733
20.0,311,1661.293446
40.0,536,1666.566978
60.0,492,1671.404097
60.0,407,1675.042308
60.0,473,1679.276861
40.0,369,1682.601592
80.0,434,1686.443322
40.0,564,1691.751084
140.0,550,1697.275142
20.0,407,1701.035207
100.0,538,1706.221114
60.0,471,1711.005092
40.0,433,1715.368347
160.0,565,1720.912858
80.0,428,1724.782158
60.0,520,1729.473895
40.0,473,1733.754697
140.0,700,1740.667211
80.0,607,1747.137929
20.0,450,1751.394414
80.0,568,1756.588694
220.0,926,1765.112389
80.0,522,1769.90632
80.0,570,1775.158532
