# {"t_start": 1554362471.3557537, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
0.0,660,1179.736009
0.0,687,1185.95164
0.0,422,1189.729917
200.0,558,1194.758172
0.0,376,1198.151074
0.0,586,1203.41145
0.0,468,1207.621929
0.0,605,1213.066796
0.0,305,1215.773466
0.0,736,1222.389845
0.0,294,1224.996487
0.0,551,1229.962126
0.0,684,1236.124492
0.0,406,1239.786971
200.0,466,1243.981807
0.0,411,1247.653238
0.0,372,1250.930205
0.0,512,1255.5261
200.0,543,1260.400393
0.0,480,1264.679747
0.0,422,1268.420428
0.0,432,1272.314632
0.0,677,1278.414088
200.0,610,1283.881077
0.0,666,1289.88036
0.0,554,1294.823932
200.0,531,1299.604744
0.0,617,1305.181013
0.0,657,1311.095957
0.0,412,1314.758505
0.0,574,1319.933895
200.0,408,1323.612049
0.0,504,1328.107627
0.0,407,1331.732196
0.0,487,1336.05872
0.0,573,1341.225004
0.0,593,1346.6854
