# {"env_id": "KangarooNoFrameskip-v4", "t_start": 1554392753.680246} 
r,l,t
0.0,373,1541.628808
0.0,286,1544.779352
0.0,494,1550.221818
400.0,469,1555.401932
200.0,431,1560.16322
0.0,286,1563.299828
0.0,472,1568.545793
0.0,288,1571.684397
0.0,736,1579.893406
0.0,400,1584.322593
0.0,429,1589.030987
0.0,423,1593.711464
0.0,542,1599.725374
0.0,507,1605.3234
0.0,667,1612.733545
0.0,351,1616.62117
200.0,787,1625.46451
0.0,408,1629.950482
0.0,400,1634.355723
0.0,385,1638.595344
0.0,344,1642.416121
0.0,298,1645.708313
200.0,624,1652.674675
0.0,592,1659.306931
200.0,468,1664.493056
0.0,495,1669.957457
0.0,410,1674.490309
0.0,601,1681.248228
0.0,282,1684.360901
0.0,484,1689.761451
0.0,502,1695.343517
200.0,725,1703.499696
0.0,413,1708.040547
0.0,468,1713.367296
200.0,540,1719.396192
0.0,376,1723.945993
0.0,476,1730.279049
0.0,469,1735.697552
200.0,416,1740.321182
400.0,436,1745.169211
0.0,539,1751.122284
0.0,464,1756.254553
0.0,473,1761.48855
0.0,718,1769.520062
0.0,493,1774.954031
400.0,534,1780.907104
0.0,490,1786.362509
0.0,288,1789.503105
0.0,599,1796.153313
0.0,306,1799.486396
0.0,533,1805.385613
0.0,541,1811.386558
0.0,365,1815.413783
200.0,468,1820.613871
0.0,667,1828.03701
0.0,286,1831.120759
0.0,287,1834.242747
0.0,535,1840.18086
200.0,399,1844.558148
0.0,628,1851.585348
0.0,545,1857.684536
0.0,561,1863.858019
200.0,400,1868.277196
0.0,552,1874.38685
0.0,432,1879.210943
0.0,506,1884.834897
0.0,407,1889.391705
0.0,730,1897.535915
200.0,608,1904.303809
0.0,474,1909.521848
0.0,481,1914.852586
0.0,495,1920.348881
0.0,538,1926.351821
0.0,373,1930.446865
0.0,574,1936.77294
0.0,606,1943.554795
0.0,535,1949.612588
0.0,541,1955.595584
200.0,531,1961.443937
0.0,603,1968.184902
0.0,474,1973.467768
200.0,492,1978.937135
0.0,556,1985.15849
200.0,429,1989.907784
0.0,377,1994.053691
0.0,368,1998.183642
200.0,401,2002.671635
0.0,595,2009.291923
0.0,690,2016.99203
200.0,672,2024.508908
200.0,434,2029.263189
200.0,550,2035.384828
200.0,720,2043.426296
0.0,545,2049.493065
0.0,384,2053.71477
0.0,661,2061.066102
0.0,663,2068.500212
0.0,587,2075.137174
0.0,446,2080.059978
0.0,423,2084.79733
0.0,408,2089.313221
0.0,619,2096.231737
0.0,463,2101.391932
0.0,471,2106.629918
0.0,421,2111.323371
0.0,529,2117.215569
200.0,549,2123.320237
200.0,471,2128.55426
0.0,653,2135.819823
0.0,441,2140.966027
0.0,465,2146.246898
0.0,286,2149.385501
0.0,347,2153.228247
0.0,553,2159.408685
200.0,454,2164.4961
200.0,618,2171.393646
0.0,485,2176.814144
200.0,549,2182.965685
0.0,619,2189.90513
0.0,469,2195.131111
0.0,441,2200.011096
0.0,653,2207.267641
0.0,500,2212.799839
200.0,601,2219.470031
0.0,602,2226.215945
0.0,360,2230.147428
0.0,611,2237.026051
0.0,284,2240.116781
0.0,341,2243.838823
0.0,596,2250.528586
0.0,546,2256.54449
0.0,346,2260.35729
0.0,480,2265.680049
0.0,439,2270.547149
0.0,351,2274.34798
0.0,293,2277.575346
200.0,603,2284.249489
0.0,299,2287.544673
0.0,420,2292.195232
0.0,411,2296.716136
0.0,485,2302.078788
0.0,430,2306.832071
0.0,284,2309.911831
0.0,415,2314.505541
200.0,543,2320.53441
0.0,420,2325.134105
0.0,414,2329.752748
0.0,355,2333.641344
200.0,474,2338.900274
0.0,541,2344.930142
0.0,559,2351.164462
0.0,531,2357.091604
200.0,544,2363.146405
0.0,618,2370.009106
0.0,422,2374.689583
0.0,462,2379.810882
0.0,465,2384.946143
0.0,584,2391.599342
0.0,712,2400.062699
200.0,349,2404.437993
200.0,474,2410.231493
200.0,521,2416.586491
0.0,726,2425.020924
0.0,290,2428.201416
0.0,586,2434.709005
0.0,296,2437.98524
0.0,521,2443.973219
0.0,385,2448.643534
0.0,657,2456.490646
0.0,278,2459.611297
0.0,392,2464.240911
0.0,491,2469.967342
200.0,412,2474.587988
0.0,362,2478.651109
0.0,440,2483.586904
0.0,283,2486.755427
0.0,391,2491.146678
0.0,459,2496.327816
200.0,651,2503.674161
0.0,470,2508.967
